azure_mfa_denies.yml;False
azure_mfa_disabled.yml;False
azure_mfa_interrupted.yml;False
azure_network_firewall_policy_modified_or_deleted.yml;False
azure_network_firewall_rule_modified_or_deleted.yml;False
azure_network_p2s_vpn_modified_or_deleted.yml;False
azure_network_security_modified_or_deleted.yml;False
azure_network_virtual_device_modified_or_deleted.yml;False
azure_new_cloudshell_created.yml;False
azure_owner_removed_from_application_or_service_principal.yml;False
azure_pim_activation_approve_deny.yml;False
azure_pim_alerts_disabled.yml;False
azure_pim_change_settings.yml;False
azure_priviledged_role_assignment_add.yml;False
azure_priviledged_role_assignment_bulk_change.yml;False
azure_privileged_account_creation.yml;False
azure_rare_operations.yml;False
azure_service_principal_created.yml;False
azure_service_principal_removed.yml;False
azure_subscription_permissions_elevation_via_activitylogs.yml;False
azure_subscription_permissions_elevation_via_auditlogs.yml;False
azure_suppression_rule_created.yml;False
azure_tap_added.yml;False
azure_unusual_authentication_interruption.yml;False
azure_users_authenticating_to_other_azure_ad_tenants.yml;False
azure_user_login_blocked_by_conditional_access.yml;False
azure_user_password_change.yml;False
azure_virtual_network_modified_or_deleted.yml;False
azure_vpn_connection_modified_or_deleted.yml;False
gcp_bucket_enumeration.yml;False
gcp_bucket_modified_or_deleted.yml;False
gcp_dlp_re_identifies_sensitive_information.yml;False
gcp_dns_zone_modified_or_deleted.yml;False
gcp_firewall_rule_modified_or_deleted.yml;False
gcp_full_network_traffic_packet_capture.yml;False
gcp_kubernetes_admission_controller.yml;False
gcp_kubernetes_cronjob.yml;False
gcp_kubernetes_rolebinding.yml;False
gcp_kubernetes_secrets_modified_or_deleted.yml;False
gcp_service_account_disabled_or_deleted.yml;False
gcp_service_account_modified.yml;False
gcp_sql_database_modified_or_deleted.yml;False
gcp_vpn_tunnel_modified_or_deleted.yml;False
gworkspace_application_removed.yml;False
gworkspace_granted_domain_api_access.yml;False
gworkspace_mfa_disabled.yml;False
gworkspace_role_modified_or_deleted.yml;False
